record_id,sample_id,taxon_id,value
106,1771-13,40,0.6
107,1771-13,44,0.1
108,1771-13,50,0.2
109,1771-13,59,0.3
110,1771-17,31,2
111,1771-17,42,4
112,1771-18,4,0.5
113,1771-18,9,0.1
114,1771-18,24,2
115,1771-21,23,0.1
116,1771-21,24,4
117,1771-21,31,0.2
118,1771-21,44,0.1
119,1771-21,58,0.1
120,1771-23,31,4
121,1771-24,11,0.5
122,1771-24,31,1
123,1771-24,42,1.5
124,1771-27,10,0.3
125,1771-27,23,1
126,1771-27,31,1.7
127,1771-35,24,2
128,1771-37,4,0.1
129,1771-37,23,1
130,1771-37,24,0.5
131,1771-37,29,0.1
132,1771-37,31,4.1
133,1771-37,44,0.1
134,1771-41,31,4
135,1771-49,24,4
136,1771-49,35,2
137,1771-49,44,0.1
138,1771-50,3,0.2
139,1771-50,9,0.1
140,1771-50,28,0.9
141,1771-50,31,0.2
142,1771-50,42,5.3
143,1771-50,44,0.9
144,1787-04,42,4
145,1787-06,23,0.2
146,1787-06,42,1.5
147,1787-06,46,0.3
148,1787-07,23,2
149,1787-08,23,0.1
150,1787-08,31,2
151,1787-08,46,0.5
152,1787-09,31,1.7
153,1787-15,11,0.2
154,1787-15,31,1.5
155,1787-15,54,0.3
156,1787-21,13,0.2
157,1787-21,31,0.1
158,1787-21,42,0.3
159,1787-23,42,0.5
160,1787-25,2,0.1
161,1787-25,23,0.2
162,1787-25,31,0.1
163,1787-27,19,0.3
164,1787-27,23,0.2
165,1787-28,42,0.1
166,1787-28,54,0.1
167,1787-29,11,0.1
168,1787-29,31,0.2
169,1787-29,32,0.1
170,1787-39,42,2
171,1787-40,23,3
172,1787-40,24,1
173,1787-40,46,2
174,1787-41,23,0.5
175,1787-41,31,0.1
176,1787-41,42,0.5
177,1787-44,23,0.1
178,1787-44,42,0.6
179,1787-44,54,0.3
180,1787-45,42,5
181,1787-45,44,0.1
182,1787-45,46,0.3
183,1787-46,31,1
184,1787-46,42,3
185,1787-48,24,0.2
186,1787-48,46,0.2
187,1787-48,53,0.3
188,1787-50,31,5.7
189,1787-50,54,0.3
190,1796-01,4,6
191,1796-02,11,0.1
192,1796-02,18,0.5
193,1796-02,23,0.2
194,1796-02,31,0.5
195,1796-08,31,3
196,1796-13,22,5
197,1796-22,22,5
198,1796-23,23,1
199,1796-23,37,5
200,1796-24,36,3
201,1796-27,22,7
202,1796-28,9,0.1
203,1796-28,11,0.1
204,1796-28,31,0.5
205,1796-29,23,2
206,1796-29,36,5
207,1796-29,44,0.1
208,1796-30,9,0.1
209,1796-30,31,0.1
210,1796-30,42,2
211,1796-33,22,6
212,1796-33,23,0.1
213,1796-36,37,6
214,1796-38,22,1.5
215,1796-41,31,1.8
216,1796-41,44,0.1
217,1796-41,54,0.1
218,1796-43,9,0.1
219,1796-43,31,0.5
220,1796-43,44,0.1
221,1796-43,51,0.1
222,1796-44,22,1
223,1796-45,31,1
224,1796-47,22,0.5
225,1796-49,11,0.1
226,1796-49,23,0.2
227,1796-49,31,0.6
228,1796-49,32,0.1
229,1807-01,9,0.1
230,1807-01,13,0.5
231,1807-01,29,0.3
232,1807-05,9,0.2
233,1807-05,31,0.1
234,1807-05,42,0.4
235,1807-10,23,1
236,1807-11,23,6
237,1807-11,37,1
238,1807-15,9,0.1
239,1807-15,23,0.2
240,1807-15,31,0.3
241,1807-17,31,0.1
242,1807-17,52,6
243,1807-18,4,0.1
244,1807-20,13,2
245,1807-20,42,0.3
246,1807-22,9,0.5
247,1807-22,23,0.3
248,1807-25,24,0.8
249,1807-27,9,0.3
250,1807-27,23,1.7
251,1807-27,31,0.1
252,1807-28,9,2
253,1807-28,23,2
254,1807-28,31,0.1
255,1807-29,4,3
256,1807-32,9,1
257,1807-32,31,0.1
258,1807-34,9,0.1
259,1807-34,11,0.1
260,1807-34,31,0.3
261,1807-34,42,4.5
262,1807-37,40,1.5
263,1807-38,4,5
264,1807-38,23,1
265,1807-47,4,1
266,1807-47,9,0.1
267,1807-47,31,1
268,1807-48,23,1
269,1807-48,31,1
270,1807-49,9,1
271,1807-49,31,1
272,1824-01,9,0.2
273,1824-01,31,2
274,1824-05,8,0.1
275,1824-05,31,1
276,1824-06,10,3
277,1824-06,22,6
278,1824-06,24,1
279,1824-06,29,0.1
280,1824-07,31,0.5
281,1824-07,55,0.5
282,1824-09,37,3
283,1824-10,22,3
284,1824-10,29,0.5
285,1824-11,22,2
286,1824-11,23,0.5
287,1824-11,53,0.5
288,1824-12,4,1
289,1824-14,23,2
290,1824-14,40,1
291,1824-15,22,2
292,1824-15,23,1
293,1824-16,9,2
294,1824-16,31,1
295,1824-18,23,0.5
296,1824-18,31,1.5
297,1824-19,4,5
298,1824-20,22,3
299,1824-21,10,4
300,1824-21,51,2
301,1824-25,37,3
302,1824-26,31,0.1
303,1824-26,46,1
304,1824-33,31,0.7
305,1824-33,44,0.3
306,1824-34,17,0.1
307,1824-34,24,0.1
308,1824-34,31,1
309,1824-37,10,3
310,2001-01,11,0.1
311,2001-01,31,4
312,2001-01,42,0.5
313,2001-03,9,0.1
314,2001-03,31,2
315,2001-03,42,0.1
316,2001-04,1,0.1
317,2001-04,9,0.5
318,2001-04,22,0.1
319,2001-04,23,0.5
320,2001-04,31,0.5
321,2001-04,46,0.5
